,sensor_id,longitude,latitude,airqualityindex,relativehumidity,atmosphericpressure,co2,pm2p5,uv,o3,airtemperature,no2,co,pm10,illuminance,so2,ambientnoise
5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,73.881,18.572668,254.50055803571428,72.79794117647059,0.9399999999999997,201.26352941176472,131.42397058823528,0.05156862745098039,20.14161764705882,22.748774509803923,53.367696078431365,1.2202941176470588,225.49034313725488,1084.0013725490194,0.4947058823529413,78.7986274509804
37,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,73.835826,18.500009,221.92097355769232,67.01291253381424,0.9363390441839492,392.2150886684701,100.80967227901382,0.8832351172579677,37.70431148526759,25.29958809380637,50.2469422730006,0.8550511124473843,152.84950992182803,4786.904179194227,2.728316295850872,64.92333734215273
27,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,73.888922,18.485643,116.3478496077901,67.70735317997293,0.9307767253044653,1.5514432710533441,49.21607210626186,0.08465708864190838,55.97784707158351,24.24029826464208,30.982658708627238,1.4395983717774763,87.19594301221167,1755.3840759837178,1.3917055947854426,78.33354698533405
42,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,73.927285,18.502712,136.71945834559907,66.56993818074771,0.9365793347070942,593.066335001472,56.36638504562849,0.10909331763320577,19.370326758904916,24.770724168383868,41.532119517221076,2.0543744480423904,82.85162496320282,4562.3661171622025,0.8339299381807478,63.046014130114806
12,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,73.858556,18.447118,113.09794238683128,64.9647991133278,0.9259102244389027,89.76444721529509,26.247214979195558,0.15018862690707352,17.22801386962552,24.202122052704574,85.78919556171984,1.7130707350901526,47.6498557558946,4537.54092926491,6.724604715672678,74.70611095700417
31,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,73.850429,18.531418,149.52227795809972,72.05769860521528,0.9384081261370525,38.44437537901759,65.44582474226804,0.15295633717404486,37.45820194057004,24.325991510006062,52.13375075803517,1.3605003032140692,118.48637962401456,798.1998271679806,1.7503759854457248,57.992716798059426
41,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,73.848224,18.522881,252.26122082585277,71.418355704698,0.9373322147651004,52.48153243847875,105.52395973154364,0.26650447427293067,18.44661073825503,25.80258948545861,40.243199105145415,1.7843847874720358,178.24719798657716,2023.9754642058167,4.310201342281879,82.10658836689039
34,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,73.878603,18.502865,108.96649795131357,68.06079778259821,0.47175463967221015,110.01192817546398,39.64738009158834,0.19535791757049892,40.40301277416245,24.228035671246083,55.82929621595565,2.8720751988430946,79.81083875632682,3360.1278235719456,1.54117859725235,76.91663292359604
17,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,73.854234,18.501188,135.59132841328415,71.76485239852398,0.9353274907749075,508.264778597786,62.64916974169741,0.00933579335793358,28.68457564575646,25.137158671586715,29.930779520295204,1.2100968634686347,102.10079335793358,99.00130996309963,0.8226429889298892,84.20410516605166
44,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,73.863397,18.529833,75.07575757575758,72.85317424242425,0.9372424242424241,729.3941098484847,19.994583333333335,0.31836742424242426,30.098090909090907,24.558401515151512,50.586749999999995,1.3523825757575758,38.95454924242424,3789.861965909091,0.6663598484848485,76.70101893939395
3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,73.75385,18.553421,99.25369127516778,66.36643298415257,0.9325087295192047,416.41721998388397,41.25909213000268,0.1220241935483871,16.05031989247312,24.347895161290324,64.7804005376344,1.1623279569892475,68.67387634408603,2551.5284704301075,0.5188467741935484,75.3473629032258
13,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,73.918006,18.5652,106.33955223880596,70.95330381209087,0.9337504813246053,17.60237966884867,45.19953962264151,0.41824905660377365,50.554060377358496,26.06268679245283,19.9404,1.4305433962264151,93.28715471698112,2607.738671698113,3.595962264150943,61.299879245283016
14,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,73.857307,18.489599,87.30042656916514,68.45975571065989,0.9329600253807105,103.54749999999999,38.67255474452555,0.20050777530942557,26.596823230720407,24.38096794668359,51.246610599809586,1.2749254205014282,74.47454776261505,4544.442275468105,0.7313900349095526,71.84134560456998
